player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option
Stephen Curry,curryst01,GSW,59606817,2,False,False,False
Joel Embiid,embiijo01,PHI,55224526,4,False,True,False
Nikola Jokić,jokicni01,DEN,55224526,3,False,True,False
Kevin Durant,duranke01,HOU,54708609,3,False,True,False
Jayson Tatum,tatumja01,BOS,54126450,5,False,True,False
Anthony Davis,davisan02,WAS,54126450,3,False,True,False
Giannis Antetokounmpo,antetgi01,MIL,54126450,3,False,True,False
Jimmy Butler,butleji01,GSW,54126450,2,False,False,False
Jaylen Brown,brownja02,BOS,53142264,4,False,False,False
Devin Booker,bookede01,PHO,53142264,5,False,True,False
Karl-Anthony Towns,townska01,NYK,53142264,3,False,True,False
LeBron James,jamesle01,LAL,52627153,1,False,True,False
Paul George,georgpa01,PHI,51666090,3,False,True,False
Kawhi Leonard,leonaka01,LAC,50000000,2,False,False,False
Zach LaVine,lavinza01,SAC,47499660,2,False,True,False
Cade Cunningham,cunnica01,DET,46394100,5,False,False,False
Evan Mobley,mobleev01,CLE,46394100,5,False,False,False
Jamal Murray,murraja01,DEN,46394100,4,False,False,False
Lauri Markkanen,markkla01,UTA,46394100,4,False,False,False
Donovan Mitchell,mitchdo01,CLE,46394100,3,False,True,False
Trae Young,youngtr01,WAS,46394100,2,False,True,False
Luka Dončić,doncilu01,LAL,45999660,4,False,True,False
Anthony Edwards,edwaran01,MIN,45550512,4,False,False,False
Tyrese Haliburton,halibty01,IND,45550512,4,False,False,False
Pascal Siakam,siakapa01,IND,45550512,3,False,False,False
Domantas Sabonis,sabondo01,SAC,42336000,3,False,False,False
OG Anunoby,anunoog01,NYK,39568966,4,False,True,False
Zion Williamson,willizi01,NOP,39446090,3,False,False,False
Ja Morant,moranja01,MEM,39446090,3,False,False,False
Darius Garland,garlada01,LAC,39446090,3,False,False,False
James Harden,hardeja01,CLE,39182693,2,False,True,False
Scottie Barnes,barnesc01,TOR,38661750,5,False,False,False
Franz Wagner,wagnefr01,ORL,38661750,5,False,False,False
Shai Gilgeous-Alexander,gilgesh01,OKC,38333050,6,False,True,False
Michael Porter Jr.,portemi01,BRK,38333050,2,False,False,False
Brandon Ingram,ingrabr01,TOR,38095238,3,False,True,False
Tyrese Maxey,maxeyty01,PHI,37958760,4,False,False,False
LaMelo Ball,ballla01,CHO,37958760,4,False,False,False
De'Aaron Fox,foxde01,SAS,37096620,5,False,False,False
Bam Adebayo,adebaba01,MIA,37096620,4,False,True,False
Desmond Bane,banede01,ORL,36725670,4,False,False,False
Kyrie Irving,irvinky01,DAL,36566002,3,False,True,False
Jaren Jackson Jr.,jacksja02,UTA,35000000,5,False,True,False
Jalen Suggs,suggsja01,ORL,35000000,5,False,False,True
Rudy Gobert,goberru01,MIN,35000000,3,False,True,False
Jalen Brunson,brunsja01,NYK,34944001,4,False,True,False
Alperen Şengün,sengual01,HOU,33944954,5,False,True,False
Jalen Green,greenja05,PHO,33584499,3,False,True,False
Khris Middleton,middlkh01,DAL,33296296,1,False,True,False
Immanuel Quickley,quickim01,TOR,32500000,4,False,False,False
Jrue Holiday,holidjr01,POR,32400000,3,False,True,False
Jerami Grant,grantje01,POR,32000001,3,False,True,False
Jordan Poole,poolejo01,NOP,31848215,2,False,False,False
Tyler Herro,herroty01,MIA,31000000,2,False,False,False
Julius Randle,randlju01,MIN,30864198,3,False,True,False
Dejounte Murray,murrade01,NOP,30801103,3,False,True,False
Kristaps Porziņģis,porzikr01,GSW,30731707,1,False,False,False
CJ McCollum,mccolcj01,ATL,30666666,1,False,False,False
Jalen Johnson,johnsja05,ATL,30000000,5,False,False,False
Isaiah Hartenstein,harteis01,OKC,28500000,2,False,False,True
Andrew Wiggins,wiggian01,MIA,28223215,2,False,True,False
Derrick White,whitede01,BOS,28100000,4,False,True,False
RJ Barrett,barrerj01,TOR,27705357,2,False,False,False
Anfernee Simons,simonan01,CHI,27678571,1,False,False,False
Devin Vassell,vassede01,SAS,27000000,4,False,False,False
Terry Rozier,roziete01,MIA,26643031,1,False,False,False
Tobias Harris,harrito02,DET,26634146,1,False,False,False
John Collins,collijo01,LAC,26580000,1,False,True,False
Draymond Green,greendr01,GSW,25892857,2,False,True,False
Deandre Ayton,aytonde01,POR,33654814,2,False,True,False
Nic Claxton,claxtni01,BRK,25352272,3,False,False,False
Myles Turner,turnemy01,MIL,25318251,4,False,True,False
Trey Murphy III,murphtr02,NOP,25000000,4,False,False,False
Josh Giddey,giddejo01,CHI,25000000,4,False,False,False
Miles Bridges,bridgmi02,CHO,25000000,2,False,False,False
Fred VanVleet,vanvlfr01,HOU,25000000,2,False,True,False
Mikal Bridges,bridgmi01,NYK,24900000,5,False,True,False
DeMar DeRozan,derozde01,SAC,24570000,2,False,False,False
Jaden McDaniels,mcdanja02,MIN,24393104,4,False,False,False
Jonathan Kuminga,kuminjo01,ATL,23799569,2,False,False,True
De'Andre Hunter,huntede01,SAC,23303571,2,False,False,False
Aaron Gordon,gordoaa01,DEN,22841455,4,False,True,False
Damian Lillard,lillada01,MIL,36620603,5,False,True,False
Kyle Kuzma,kuzmaky01,MIL,22410605,2,False,False,False
Kentavious Caldwell-Pope,caldwke01,MEM,21621500,2,False,True,False
Naz Reid,reidna01,MIN,21551724,5,False,True,False
Nikola Vučević,vucevni01,BOS,21481481,1,False,False,False
Dillon Brooks,brookdi01,PHO,21124110,2,False,False,False
Cameron Johnson,johnsca02,DEN,21057065,2,False,False,False
Norman Powell,powelno01,MIA,20482758,1,False,False,False
Jarrett Allen,allenja01,CLE,20000000,4,False,False,False
Jakob Poeltl,poeltja01,TOR,19500000,5,False,True,False
Josh Hart,hartjo01,NYK,19472240,3,False,False,True
Bradley Beal,bealbr01,PHO,24737010,5,False,True,False
Jusuf Nurkić,nurkiju01,UTA,19375000,1,False,False,False
Harrison Barnes,barneha02,SAS,19000000,1,False,False,False
Collin Sexton,sextoco01,CHI,18975000,1,False,False,False
Ivica Zubac,zubaciv01,IND,18893980,3,False,False,False
Malik Monk,monkma01,SAC,18797619,3,False,True,False
Santi Aldama,aldamsa01,MEM,18485916,3,False,False,True
Rui Hachimura,hachiru01,LAL,18259259,1,False,False,False
Luguentz Dort,dortlu01,OKC,18222222,2,False,False,True
Alex Caruso,carusal01,OKC,18102000,4,False,False,False
Andrew Nembhard,nembhan01,IND,18102000,3,False,False,False
Zach Collins,colliza01,CHI,18080496,1,False,False,False
Patrick Williams,willipa01,CHI,18000000,4,False,True,False
Kevin Huerter,huertke01,DET,17991071,1,False,False,False
Keldon Johnson,johnske04,SAS,17500000,2,False,False,False
Grayson Allen,allengr01,PHO,16875000,3,False,True,False
Duncan Robinson,robindu01,DET,16834692,3,False,False,False
Klay Thompson,thompkl01,DAL,16666667,2,False,False,False
Bogdan Bogdanović,bogdabo01,LAC,16020000,2,False,False,True
Max Strus,strusma01,CLE,15936452,2,False,False,False
Terance Mann,mannte01,BRK,15500000,3,False,False,False
Paolo Banchero,banchpa01,ORL,15334769,6,False,True,True
Nickeil Alexander-Walker,alexani01,ATL,15161800,4,False,True,False
Onyeka Okongwu,okongon01,ATL,15000000,3,False,False,False
Jonathan Isaac,isaacjo01,ORL,15000000,4,False,False,False
Isaiah Stewart,stewais01,DET,15000000,3,False,False,True
Marcus Smart,smartma01,WAS,19920855,2,False,True,False
Daniel Gafford,gaffoda01,DAL,14386320,4,False,False,False
Deni Avdija,avdijde01,POR,14375000,3,False,False,False
P.J. Washington,washipj01,DAL,14152174,5,False,False,False
Steven Adams,adamsst01,HOU,14130434,3,False,False,False
Caris LeVert,leverca01,DET,14104000,2,False,False,False
Dennis Schröder,schrode01,CLE,14104000,3,False,False,False
Damian Lillard,lillada01,POR,36620603,5,False,True,False
Obi Toppin,toppiob01,IND,14000000,3,False,False,False
Corey Kispert,kispeco01,ATL,13975000,4,False,False,True
Herbert Jones,joneshe01,NOP,13937574,5,False,True,False
Austin Reaves,reaveau01,LAL,13937574,2,False,True,False
Cooper Flagg,flaggco01,DAL,13825920,4,True,False,True
Chet Holmgren,holmgch01,OKC,13731368,6,False,False,True
Josh Green,greenjo02,CHO,13666667,2,False,False,False
Grant Williams,willigr01,CHO,13645500,2,False,False,False
Bobby Portis,portibo01,MIL,13445754,3,False,True,False
Kelly Olynyk,olynyke01,SAS,13445122,1,False,False,False
Victor Wembanyama,wembavi01,SAS,13376880,2,False,False,True
Robert Williams,williro04,POR,13285713,1,False,False,False
Zaccharie Risacher,risacza01,ATL,13197720,3,False,False,True
Mitchell Robinson,robinmi01,NYK,12954546,1,False,False,False
Coby White,whiteco01,CHO,12888889,1,False,False,False
Dorian Finney-Smith,finnedo01,HOU,12700000,4,False,True,False
Brandon Clarke,clarkbr01,MEM,12500000,2,False,False,False
Dylan Harper,harpedy01,SAS,12370320,4,True,False,True
Isaiah Joe,joeis01,OKC,12362338,3,True,False,True
Jabari Smith Jr.,smithja05,HOU,12350392,6,False,False,True
Donte DiVincenzo,divindo01,MIN,11990000,2,False,False,False
Brandon Miller,millebr02,CHO,11968800,2,False,False,True
Alex Sarr,sarral01,WAS,11808240,3,False,False,True
Davion Mitchell,mitchda01,MIA,11600000,2,False,False,False
Moses Moody,moodymo01,GSW,11574075,3,False,False,False
Jarred Vanderbilt,vandeja01,LAL,11571429,3,False,True,False
Matisse Thybulle,thybuma01,POR,11550000,1,False,True,False
Gabe Vincent,vincega01,ATL,11500000,1,False,False,False
Keegan Murray,murrake02,SAC,11144093,6,False,False,True
VJ Edgecombe,edgecvj01,PHI,11108880,4,True,False,True
Aaron Nesmith,nesmiaa01,IND,11000000,4,False,False,False
Luke Kornet,kornelu01,SAS,11000000,4,False,False,True
Isaac Okoro,okorois01,CHI,11000000,2,False,False,False
Luke Kennard,kennalu01,LAL,11000000,1,False,False,False
Maxi Kleber,klebima01,LAL,11000000,1,False,False,False
Wendell Carter Jr.,cartewe01,ORL,10850000,4,False,False,True
Mike Conley,conlemi01,CHO,11499872,1,False,False,False
Scoot Henderson,hendesc01,POR,10748040,2,False,False,True
Jordan Clarkson,clarkjo01,UTA,12947835,1,False,False,False
Reed Sheppard,sheppre01,HOU,10603560,3,False,False,True
Jonas Valančiūnas,valanjo01,DEN,10395000,2,False,False,False
T.J. McConnell,mccontj01,IND,10200000,4,False,False,True
Royce O'Neale,onealro01,PHO,10125000,3,False,False,False
Jaden Ivey,iveyja01,CHI,10107163,1,False,False,True
Aaron Wiggins,wiggiaa01,OKC,10102803,4,False,False,True
Sam Hauser,hausesa01,BOS,10044644,4,False,False,False
Kon Knueppel,knuepko01,CHO,10015680,4,False,False,True
Derrick Jones Jr.,jonesde02,LAC,10000000,2,False,False,False
Lonzo Ball,balllo01,UTA,10000000,1,False,False,False
Amen Thompson,thompam01,HOU,9690600,2,False,False,True
Caleb Martin,martica02,DAL,9594044,3,False,True,False
Stephon Castle,castlst01,SAS,9560520,3,False,False,True
Pat Connaughton,connapa01,CHO,10739683,2,False,True,False
Buddy Hield,hieldbu01,ATL,9219512,3,False,True,False
Kyle Anderson,anderky01,MEM,9219512,1,False,False,False
Bennedict Mathurin,mathube01,LAC,9187573,1,False,False,True
Ace Bailey,baileac01,UTA,9069840,4,True,False,True
Naji Marshall,marshna01,DAL,9000000,2,False,False,False
Jalen Smith,smithja04,CHI,9000000,2,False,False,False
Ty Jerome,jeromty01,MEM,8781000,3,False,True,False
Ausar Thompson,thompau01,DET,8775000,2,False,False,True
Brook Lopez,lopezbr01,LAC,8750000,2,False,False,True
Quentin Grimes,grimequ01,PHI,8741209,1,False,False,False
Ron Holland,hollaro01,DET,8657280,3,False,False,True
Sam Merrill,merrisa01,CLE,8482144,4,False,False,False
Jaylin Williams,willija07,OKC,8450704,3,False,False,True
Shaedon Sharpe,sharpsh01,POR,8399983,5,False,False,True
Kelly Oubre Jr.,oubreke01,PHI,8382150,1,False,True,False
Goga Bitadze,bitadgo01,ORL,8333333,2,False,False,False
Simone Fontecchio,fontesi01,MIA,8307692,1,False,False,False
Tre Johnson,johnstr03,WAS,8237640,4,True,False,True
Georges Niang,niangge01,MEM,8200000,1,False,False,False
Zeke Nnaji,nnajize01,DEN,8177778,3,False,True,False
Deandre Ayton,aytonde01,LAL,33654814,2,False,True,False
Tre Mann,manntr01,CHO,8000000,3,False,False,True
Tre Jones,jonestr01,CHI,8000000,3,False,False,True
Kevon Looney,looneke01,NOP,8000000,2,False,False,True
Anthony Black,blackan01,ORL,7970280,2,False,False,True
Tidjane Salaün,salauti01,CHO,7863240,3,False,False,True
Max Christie,chrisma02,DAL,7714286,3,False,True,False
Dyson Daniels,daniedy01,ATL,7707709,5,False,False,True
Isaiah Jackson,jacksis01,LAC,7600000,3,False,False,False
Jeremiah Fears,fearsje01,NOP,7520040,4,True,False,True
Ayo Dosunmu,dosunay01,MIN,7518518,1,False,False,False
Bilal Coulibaly,coulibi01,WAS,7275600,2,False,False,True
Payton Pritchard,pritcpa01,BOS,7232143,3,False,False,False
Donovan Clingan,clingdo01,POR,7178400,3,False,False,True
Kenrich Williams,willike04,OKC,7163000,2,False,False,True
Jeremy Sochan,sochaje01,SAS,7874853,1,False,False,True
Tyus Jones,jonesty01,DAL,7000000,1,False,False,False
Egor Dёmin,demineg01,BRK,6889200,4,True,False,True
Jevon Carter,carteje01,CHI,7680524,1,False,True,False
Clint Capela,capelca01,HOU,6700000,3,False,False,False
Ousmane Dieng,diengou01,MIL,6670882,1,False,False,True
Jarace Walker,walkeja02,IND,6665520,2,False,False,True
Dean Wade,wadede01,CLE,6623456,1,False,False,False
Jalen Williams,willija06,OKC,6580997,6,False,False,True
Rob Dillingham,dilliro01,CHI,6576120,3,False,False,True
Jalen Duren,durenja01,DET,6483144,1,False,False,True
Ochai Agbaji,agbajoc01,BRK,6383525,1,False,False,True
Collin Murray-Boyles,murraco01,TOR,6332520,4,True,False,True
Mark Williams,willima07,PHO,6276531,1,False,False,True
Day'Ron Sharpe,sharpda01,BRK,6250000,2,False,False,True
Ziaire Williams,willizi02,BRK,6250000,2,False,False,True
John Konchar,konchjo01,UTA,6165000,2,False,False,False
Taylor Hendricks,hendrta01,MEM,6127080,2,False,False,True
Saddiq Bey,beysa01,NOP,6118644,2,False,False,False
Zach Edey,edeyza01,MEM,6045000,3,False,False,True
Khaman Maluach,maluakh01,PHO,6016080,4,True,False,True
Jaden Hardy,hardyja02,WAS,6000000,3,False,False,True
Jake LaRavia,laravja01,LAL,6000000,2,False,False,False
Cam Thomas,thomaca02,BRK,6837779,1,False,False,False
Cason Wallace,wallaca01,OKC,5820240,2,False,False,True
Cody Williams,willico04,UTA,5742480,3,False,False,True
Cedric Coward,cowarce01,MEM,5715120,4,True,False,True
D'Angelo Russell,russeda01,WAS,5685000,2,False,True,False
Al Horford,horfoal01,GSW,5685000,2,False,True,False
Tari Eason,easonta01,HOU,5675766,1,False,False,True
Haywood Highsmith,highsha01,BRK,6443984,2,False,False,False
Nicolas Batum,batumni01,LAC,5601600,2,False,False,True
Jett Howard,howarje01,ORL,5529720,2,False,False,True
Guerschon Yabusele,yabusgu01,CHI,5500000,1,False,False,False
