season,team,wins,ps_g,pa_g
2023-24,BOS,64,120.6,109.2
2023-24,NYK,50,112.8,108.2
2023-24,MIL,49,119.0,116.4
2023-24,CLE,48,112.6,110.2
2023-24,ORL,47,110.5,108.4
2023-24,IND,47,123.3,120.2
2023-24,PHI,47,114.6,111.5
2023-24,MIA,46,110.1,108.4
2023-24,CHI,39,112.3,113.7
2023-24,ATL,36,118.3,120.5
2023-24,BKN,32,110.4,113.3
2023-24,TOR,25,112.4,118.8
2023-24,CHA,21,106.6,116.8
2023-24,WAS,15,113.7,123.0
2023-24,DET,14,109.9,119.0
2023-24,OKC,57,120.1,112.7
2023-24,DEN,57,114.9,109.6
2023-24,MIN,56,113.0,106.5
2023-24,LAC,51,115.6,112.3
2023-24,DAL,50,117.9,115.6
2023-24,PHX,49,116.2,113.2
2023-24,NOP,49,115.1,110.7
2023-24,LAL,47,118.0,117.4
2023-24,SAC,46,116.6,114.8
2023-24,GSW,46,117.8,115.2
2023-24,HOU,41,114.3,113.2
2023-24,UTA,31,115.7,120.5
2023-24,MEM,27,105.8,112.8
2023-24,SAS,22,112.1,118.6
2023-24,POR,21,106.4,115.4
2024-25,CLE,64,121.9,112.4
2024-25,BOS,61,116.3,107.2
2024-25,NYK,51,115.8,111.7
2024-25,IND,50,117.4,115.1
2024-25,MIL,48,115.5,113.0
2024-25,DET,44,115.5,113.6
2024-25,ORL,41,105.4,105.5
2024-25,ATL,40,118.2,119.3
2024-25,CHI,39,117.8,119.4
2024-25,MIA,37,110.6,110.0
2024-25,TOR,30,110.9,115.2
2024-25,BKN,26,105.1,112.2
2024-25,PHI,24,109.6,115.8
2024-25,CHA,19,105.1,114.2
2024-25,WAS,18,108.0,120.4
2024-25,OKC,68,120.5,107.6
2024-25,HOU,52,114.3,109.8
2024-25,LAL,50,113.4,112.2
2024-25,DEN,50,120.8,116.9
2024-25,LAC,50,112.9,108.2
2024-25,MIN,49,114.3,109.3
2024-25,GSW,48,113.8,110.5
2024-25,MEM,48,121.7,116.9
2024-25,SAC,40,115.7,115.3
2024-25,DAL,39,114.2,115.4
2024-25,PHX,36,113.6,116.6
2024-25,POR,36,110.9,113.9
2024-25,SAS,34,113.9,116.7
2024-25,NOP,21,109.8,119.3
2024-25,UTA,17,111.9,121.2
2025-26,DET,60,117.8,109.6
2025-26,BOS,56,114.9,107.2
2025-26,NYK,53,116.5,110.1
2025-26,CLE,52,119.5,115.4
2025-26,TOR,46,114.6,111.8
2025-26,ATL,46,118.5,116.0
2025-26,PHI,45,115.9,116.1
2025-26,ORL,45,115.7,115.1
2025-26,CHA,44,116.0,111.2
2025-26,MIA,43,120.9,118.5
2025-26,MIL,32,110.6,116.8
2025-26,CHI,31,116.3,121.5
2025-26,BKN,20,105.9,115.9
2025-26,IND,19,112.4,120.4
2025-26,WAS,17,112.9,124.9
2025-26,OKC,64,119.0,107.9
2025-26,SAS,62,119.8,111.5
2025-26,DEN,54,122.1,116.9
2025-26,LAL,53,116.3,114.6
2025-26,HOU,52,115.2,110.0
2025-26,MIN,49,118.0,114.6
2025-26,PHX,45,112.6,111.1
2025-26,POR,42,115.5,115.8
2025-26,LAC,42,113.8,112.6
2025-26,GSW,37,114.6,115.2
2025-26,NOP,26,115.5,120.0
2025-26,DAL,26,114.1,119.6
2025-26,MEM,25,114.7,120.7
2025-26,SAC,22,111.0,121.0
2025-26,UTA,22,117.6,126.0
